Date,Time,location,humidity_temp,air_temp_c,weight_g,svl_mm,femur_length_mm,frogID
1232020,23:20,4,82,21.7,4.1,41.9,22.4,1281
1232020,23:35,3,25.3,20.5,5.1,43.3,25.1,1303
1232020,23:40,3,83,21,5.5,43,25,1314
1232020,23:50,3,84,21.1,5.2,40,22.1,1325
1232020,0:30,2,87,19.1,5.4,41,22,1346
1632020,23:10,1,85.8,14.5,5,43.34,23.3,1552
1632020,23:40,2,83,15.1,3,34.4,17.8,1573
1632020,0:05,2,na,na,4.5,39.9,22.1,1594
1632020,0:15,2,74,18,3.5,36.4,20.1,1605
1632020,0:30,2,na,na,4,42.9,20.7,1626
1732020,23:00,4,74.5,19.7,4.2,36.6,20,1682
1832020,23:37,4,87.7,19.1,3.6,33,18,1741
1832020,23:42,4,na,na,4,37.4,20,1752
1832020,23:45,4,82,19.8,4.2,36.5,20.2,1763
1832020,23:49,4,85,19.4,4.2,36.6,20.2,1774
1832020,0:15,4,na,na,5.6,42.4,22.5,1785
1832020,0:21,4,na,na,5.5,42,22,1806
1832020,0:32,4,na,na,4,36.3,20.1,1817
