Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Max Freq (Hz)	Peak Amp (U)	Freq 5% (Hz)	Freq 25% (Hz)	Freq 75% (Hz)	Freq 95% (Hz)	Note_type	call_type	series_type	series_seq	Call_group_num	Call_num	Notes
29	Spectrogram 1	1	21.49856631	21.51069202	0	22050	0.0121	2325.586		2153.32	2239.453	2325.586	2411.719	1	doublet	solo	0	1	1	
30	Spectrogram 1	1	21.57462587	21.62148697	0	22050	0.0469	2411.719		2325.586	2411.719	2497.852	2497.852	2	doublet	solo	0	1	1	
46	Spectrogram 1	1	57.9934701	58.00755949	0	22050	0.0141	2411.719		2325.586	2325.586	2411.719	2497.852	1	doublet	solo	0	2	10	
47	Spectrogram 1	1	58.07374277	58.1200835	0	22050	0.0463	2497.852		2411.719	2497.852	2497.852	2583.984	2	doublet	solo	0	2	10	
48	Spectrogram 1	1	59.91446772	59.92854566	0	22050	0.0141	2411.719		2325.586	2325.586	2411.719	2497.852	11	solo	solo	0	2	11	
49	Spectrogram 1	1	59.99387827	60.03890813	0	22050	0.045	2497.852		2325.586	2411.719	2583.984	2670.117	1	doublet	solo	0	2	11	
50	Spectrogram 1	1	61.92426386	61.93934172	0	22050	0.0151	2411.719		2325.586	2325.586	2411.719	2497.852	2	doublet	solo	0	2	12	
51	Spectrogram 1	1	62.0008172	62.04102059	0	22050	0.0402	2497.852		2411.719	2411.719	2497.852	2583.984	1	doublet	solo	0	2	12	
52	Spectrogram 1	1	64.38770762	64.4022808	0	22050	0.0146	2411.719		2239.453	2325.586	2411.719	2497.852	2	doublet	solo	0	2	13	
53	Spectrogram 1	1	64.46639719	64.50953764	0	22050	0.0431	2497.852		2411.719	2497.852	2497.852	2583.984	1	doublet	solo	0	2	13	
54	Spectrogram 1	1	66.58964376	66.60366063	0	22050	0.014	2411.719		2325.586	2411.719	2411.719	2497.852	2	doublet	solo	0	2	14	
55	Spectrogram 1	1	66.66707316	66.70768343	0	22050	0.0406	2497.852		2411.719	2497.852	2583.984	2583.984	1	doublet	solo	0	2	14	
56	Spectrogram 1	1	68.54369822	68.5575098	0	22050	0.0138	2411.719		2239.453	2325.586	2497.852	2583.984	2	doublet	solo	0	2	15	
