Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Max Freq (Hz)	Peak Amp (U)	Freq 5% (Hz)	Freq 25% (Hz)	Freq 75% (Hz)	Freq 95% (Hz)	Note_type	call_type	series_type	series_seq	Call_group_num	Call_num	Notes
1	Spectrogram 1	1	5.029494415	5.044542254	0	22050	0.015	2411.719		2325.586	2325.586	2411.719	2497.852	1	doublet	solo	0	1	1	
2	Spectrogram 1	1	5.110952283	5.148268387	0	22050	0.0373	2497.852		2411.719	2497.852	2583.984	2670.117	2	doublet	solo	0	1	1	
3	Spectrogram 1	1	7.437346841	7.452320661	0	22050	0.015	2497.852		2411.719	2411.719	2497.852	2583.984	1	doublet	solo	0	1	2	
4	Spectrogram 1	1	7.517754937	7.557958754	0	22050	0.0402	2583.984		2497.852	2497.852	2670.117	2670.117	2	doublet	solo	0	1	2	
5	Spectrogram 1	1	8.752607251	8.777007008	0	22050	0.0244	2411.719		2325.586	2411.719	2497.852	2583.984	1	doublet	solo	0	1	3	
6	Spectrogram 1	1	8.85115614	8.890954968	0	22050	0.0398	2583.984		2497.852	2583.984	2670.117	2756.25	2	doublet	solo	0	1	3	
7	Spectrogram 1	1	10.17734709	10.1907726	0	22050	0.0134	2497.852		2411.719	2497.852	2583.984	2583.984	1	doublet	solo	0	1	4	
8	Spectrogram 1	1	10.25947847	10.29844577	0	22050	0.039	2583.984		2497.852	2583.984	2670.117	2756.25	2	doublet	solo	0	1	4	
9	Spectrogram 1	1	11.47995463	11.49583947	0	22050	0.0159	2497.852		2411.719	2497.852	2583.984	2670.117	1	doublet	two	1	1	5	
10	Spectrogram 1	1	11.55791369	11.59911789	0	22050	0.0412	2583.984		2497.852	2583.984	2670.117	2756.25	2	doublet	two	1	1	5	
11	Spectrogram 1	1	11.78297033	11.79932332	0	22050	0.0164	2497.852		2325.586	2411.719	2583.984	2670.117	1	doublet	two	2	1	6	
12	Spectrogram 1	1	11.85467138	11.88874323	0	22050	0.0341	2583.984		2497.852	2583.984	2670.117	2670.117	2	doublet	two	2	1	6	
13	Spectrogram 1	1	13.09848108	13.11301026	0	22050	0.0145	2497.852		2411.719	2497.852	2583.984	2670.117	1	doublet	two	1	1	7	
