Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Max Freq (Hz)	Peak Amp (U)	Freq 5% (Hz)	Freq 25% (Hz)	Freq 75% (Hz)	Freq 95% (Hz)	Note_type	call_type	series_type	series_seq	Call_group_num	Call_num	Notes
1	Spectrogram 1	1	5.372411414	5.387983161	0	22050	0.0156	2670.117		2583.984	2670.117	2756.25	2756.25	1	doublet	solo	0	1	1	
2	Spectrogram 1	1	5.45185929	5.494988684	0	22050	0.0431	2756.25		2670.117	2756.25	2756.25	2842.383	2	doublet	solo	0	1	1	
3	Spectrogram 1	1	7.353038603	7.369310481	0	22050	0.0163	2670.117		2497.852	2670.117	2756.25	2756.25	1	doublet	solo	0	1	2	
4	Spectrogram 1	1	7.430385405	7.471648448	0	22050	0.0413	2756.25		2670.117	2756.25	2756.25	2842.383	2	doublet	solo	0	1	2	
5	Spectrogram 1	1	9.256915862	9.273912467	0	22050	0.017	2670.117		2497.852	2670.117	2756.25	2756.25	1	doublet	solo	0	1	3	
6	Spectrogram 1	1	9.337710196	9.379771296	0	22050	0.0421	2756.25		2670.117	2756.25	2842.383	2842.383	2	doublet	solo	0	1	3	
7	Spectrogram 1	1	10.88494378	10.90176433	0	22050	0.0168	2670.117		2583.984	2670.117	2756.25	2756.25	1	doublet	solo	0	1	4	
8	Spectrogram 1	1	10.96056729	11.00359716	0	22050	0.043	2756.25		2670.117	2756.25	2756.25	2842.383	2	doublet	solo	0	1	4	
9	Spectrogram 1	1	12.50142842	12.51905868	0	22050	0.0176	2670.117		2583.984	2670.117	2756.25	2756.25	1	doublet	solo	0	1	5	
10	Spectrogram 1	1	12.58367329	12.62775391	0	22050	0.0441	2756.25		2583.984	2670.117	2842.383	2928.516	2	doublet	solo	0	1	5	
11	Spectrogram 1	1	14.27619057	14.29241865	0	22050	0.0162	2670.117		2583.984	2670.117	2670.117	2756.25	1	doublet	solo	0	1	6	
12	Spectrogram 1	1	14.35603219	14.40156768	0	22050	0.0455	2756.25		2670.117	2756.25	2842.383	2842.383	2	doublet	solo	0	1	6	
13	Spectrogram 1	1	55.91530715	55.92873107	0	22050	0.0134	2497.852		2411.719	2497.852	2583.984	2583.984	1	doublet	solo	0	2	7	
14	Spectrogram 1	1	55.98532632	56.02989373	0	22050	0.0446	2583.984		2583.984	2583.984	2670.117	2756.25	2	doublet	solo	0	2	7	
20	Spectrogram 1	1	58.03847298	58.05479646	0	22050	0.0163	2583.984		2497.852	2583.984	2670.117	2670.117	1	doublet	solo	0	2	8	
21	Spectrogram 1	1	58.11228924	58.15734398	0	22050	0.0451	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	solo	0	2	8	
22	Spectrogram 1	1	59.91612225	59.93154982	0	22050	0.0154	2583.984		2497.852	2583.984	2670.117	2756.25	1	doublet	solo	0	2	9	
23	Spectrogram 1	1	59.99639493	60.04334141	0	22050	0.0469	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	solo	0	2	9	
24	Spectrogram 1	1	61.59578305	61.6119816	0	22050	0.0162	2583.984		2411.719	2583.984	2670.117	2756.25	1	doublet	solo	0	2	10	
25	Spectrogram 1	1	61.67668896	61.72168797	0	22050	0.045	2670.117		2583.984	2670.117	2756.25	2928.516	2	doublet	solo	0	2	10	
26	Spectrogram 1	1	90.05543881	90.09814941	0	22050	0.0427	2583.984		2497.852	2583.984	2670.117	2756.25	1	doublet	solo	0	3	11	
31	Spectrogram 1	1	91.72333127	91.73618002	0	22050	0.0128	2497.852		2325.586	2497.852	2583.984	2842.383	2	doublet	solo	0	3	12	
32	Spectrogram 1	1	91.8035162	91.84751169	0	22050	0.044	2670.117		2497.852	2670.117	2756.25	2842.383	1	doublet	solo	0	3	12	
37	Spectrogram 1	1	93.56362515	93.57728171	0	22050	0.0137	2583.984		2325.586	2497.852	2670.117	2842.383	2	doublet	solo	0	3	13	
38	Spectrogram 1	1	93.64480954	93.69274127	0	22050	0.0479	2670.117		2497.852	2670.117	2756.25	2928.516	1	doublet	solo	0	3	13	
41	Spectrogram 1	1	95.57623654	95.59065662	0	22050	0.0144	2583.984		2497.852	2583.984	2670.117	2756.25	2	doublet	solo	0	3	14	
42	Spectrogram 1	1	95.65965634	95.70557318	0	22050	0.0459	2670.117		2497.852	2670.117	2756.25	2928.516	1	doublet	solo	0	3	14	
44	Spectrogram 1	1	97.66378384	97.67991489	0	22050	0.0161	2583.984		2497.852	2583.984	2670.117	2670.117	2	doublet	solo	0	3	15	
45	Spectrogram 1	1	97.74924832	97.79571432	0	22050	0.0465	2670.117		2583.984	2670.117	2756.25	2928.516	1	doublet	solo	0	3	15	
46	Spectrogram 1	1	99.3467825	99.36217383	0	22050	0.0154	2583.984		2583.984	2583.984	2670.117	2670.117	2	doublet	solo	0	3	16	
47	Spectrogram 1	1	99.42605191	99.47603903	0	22050	0.05	2670.117		2583.984	2670.117	2756.25	2928.516	1	doublet	solo	0	3	16	
48	Spectrogram 1	1	101.3106573	101.3255498	0	22050	0.0149	2583.984		2497.852	2583.984	2670.117	2756.25	2	doublet	solo	0	3	17	
49	Spectrogram 1	1	101.3917196	101.4405871	0	22050	0.0489	2670.117		2583.984	2670.117	2756.25	2842.383	1	doublet	solo	0	3	17	
50	Spectrogram 1	1	111.5164984	111.5311036	0	22050	0.0146	2670.117		2497.852	2583.984	2670.117	2756.25	2	doublet	solo	0	4	18	
51	Spectrogram 1	1	111.5843084	111.6264525	0	22050	0.0421	2670.117		2670.117	2670.117	2756.25	2842.383	1	doublet	solo	0	4	18	
52	Spectrogram 1	1	113.9364889	113.9511813	0	22050	0.0147	2670.117		2583.984	2583.984	2670.117	2756.25	2	doublet	solo	0	4	19	
53	Spectrogram 1	1	114.0121573	114.0537647	0	22050	0.0416	2670.117		2583.984	2670.117	2756.25	2842.383	1	doublet	solo	0	4	19	
54	Spectrogram 1	1	136.4666993	136.4815193	0	22050	0.0148	2670.117		2497.852	2583.984	2670.117	2756.25	2	doublet	solo	0	5	20	
55	Spectrogram 1	1	136.5374792	136.578339	0	22050	0.0409	2670.117		2583.984	2670.117	2756.25	2842.383	1	doublet	solo	0	5	20	
56	Spectrogram 1	1	138.8673437	138.8839815	0	22050	0.0166	2670.117		2583.984	2670.117	2670.117	2756.25	2	doublet	solo	0	5	21	
57	Spectrogram 1	1	138.9459417	138.9917346	0	22050	0.0458	2756.25		2583.984	2670.117	2756.25	2842.383	1	doublet	solo	0	5	21	
58	Spectrogram 1	1	140.5806678	140.5977431	0	22050	0.0171	2670.117		2583.984	2670.117	2670.117	2756.25	2	doublet	solo	0	5	22	
59	Spectrogram 1	1	140.6627234	140.7082263	0	22050	0.0455	2756.25		2670.117	2670.117	2756.25	2842.383	1	doublet	solo	0	5	22	
61	Spectrogram 1	1	142.3008001	142.3169315	0	22050	0.0161	2670.117		2583.984	2670.117	2756.25	2756.25	2	doublet	solo	0	5	23	
62	Spectrogram 1	1	142.3799017	142.4233155	0	22050	0.0434	2756.25		2670.117	2756.25	2842.383	2842.383	1	doublet	solo	0	5	23	
63	Spectrogram 1	1	143.98505	144.0012882	0	22050	0.0162	2670.117		2497.852	2670.117	2756.25	2756.25	2	doublet	solo	0	5	24	
64	Spectrogram 1	1	144.063648	144.1070606	0	22050	0.0434	2756.25		2670.117	2756.25	2842.383	2842.383	1	doublet	solo	0	5	24	
65	Spectrogram 1	1	146.0704992	146.087113	0	22050	0.0166	2670.117		2411.719	2583.984	2756.25	2842.383	2	doublet	solo	0	5	25	
66	Spectrogram 1	1	146.1540869	146.199385	0	22050	0.0453	2756.25		2670.117	2756.25	2842.383	2842.383	1	doublet	solo	0	5	25	
67	Spectrogram 1	1	147.8973425	147.9133987	0	22050	0.0161	2670.117		2497.852	2670.117	2756.25	2756.25	2	doublet	solo	0	5	26	
68	Spectrogram 1	1	147.9707525	148.0142672	0	22050	0.0435	2756.25		2670.117	2756.25	2756.25	2842.383	1	doublet	solo	0	5	26	
69	Spectrogram 1	1	149.577915	149.5941456	0	22050	0.0162	2670.117		2583.984	2670.117	2756.25	2756.25	2	doublet	solo	0	5	27	
70	Spectrogram 1	1	149.6488226	149.6896595	0	22050	0.0408	2756.25		2670.117	2756.25	2842.383	2842.383	1	doublet	solo	0	5	27	
71	Spectrogram 1	1	151.9422949	151.9589703	0	22050	0.0167	2670.117		2583.984	2670.117	2756.25	2756.25	2	doublet	solo	0	5	28	
72	Spectrogram 1	1	152.0207251	152.0640784	0	22050	0.0434	2756.25		2583.984	2756.25	2842.383	2928.516	1	doublet	solo	0	5	28	
73	Spectrogram 1	1	153.9839056	153.9997318	0	22050	0.0158	2670.117		2583.984	2670.117	2756.25	2756.25	2	doublet	solo	0	5	29	
74	Spectrogram 1	1	154.0593908	154.0993956	0	22050	0.04	2756.25		2670.117	2756.25	2842.383	2842.383	1	doublet	solo	0	5	29	
75	Spectrogram 1	1	155.6993597	155.7154289	0	22050	0.0161	2670.117		2497.852	2670.117	2756.25	2756.25	2	doublet	solo	0	5	30	
76	Spectrogram 1	1	155.7772558	155.8199871	0	22050	0.0427	2756.25		2670.117	2756.25	2842.383	2842.383	1	doublet	solo	0	5	30	
77	Spectrogram 1	1	157.1134527	157.1299521	0	22050	0.0165	2670.117		2583.984	2670.117	2756.25	2756.25	2	doublet	solo	0	5	31	
78	Spectrogram 1	1	157.1916998	157.2366282	0	22050	0.0449	2756.25		2670.117	2756.25	2842.383	2928.516	1	doublet	solo	0	5	31	
79	Spectrogram 1	1	158.4716833	158.4873951	0	22050	0.0157	2670.117		2583.984	2670.117	2756.25	2756.25	2	doublet	solo	0	5	32	
80	Spectrogram 1	1	158.5445135	158.5902717	0	22050	0.0458	2756.25		2583.984	2756.25	2842.383	2928.516	1	doublet	solo	0	5	32	
81	Spectrogram 1	1	160.4288214	160.4449827	0	22050	0.0162	2670.117		2583.984	2670.117	2756.25	2756.25	2	doublet	solo	0	5	33	
82	Spectrogram 1	1	160.5113562	160.554578	0	22050	0.0432	2756.25		2670.117	2756.25	2842.383	2928.516	1	doublet	solo	0	5	33	
83	Spectrogram 1	1	161.9745062	161.9907661	0	22050	0.0163	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	solo	0	5	34	
84	Spectrogram 1	1	162.0539892	162.0964769	0	22050	0.0425	2756.25		2670.117	2756.25	2842.383	2842.383	1	doublet	solo	0	5	34	
85	Spectrogram 1	1	163.3223608	163.3387663	0	22050	0.0164	2670.117		2497.852	2670.117	2756.25	2842.383	2	doublet	solo	0	5	35	
86	Spectrogram 1	1	163.4041479	163.4468164	0	22050	0.0427	2756.25		2670.117	2756.25	2842.383	2928.516	1	doublet	two	1	5	35	
87	Spectrogram 1	1	163.6512182	163.6667135	0	22050	0.0155	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	two	1	5	36	
88	Spectrogram 1	1	163.7165564	163.7450215	0	22050	0.0285	2756.25		2583.984	2670.117	2842.383	2928.516	1	doublet	two	2	5	36	
89	Spectrogram 1	1	165.4561956	165.4739444	0	22050	0.0177	2670.117		2583.984	2670.117	2756.25	2756.25	2	doublet	two	2	5	37	
90	Spectrogram 1	1	165.5391577	165.5828392	0	22050	0.0437	2756.25		2670.117	2756.25	2842.383	2928.516	1	doublet	solo	0	5	37	
91	Spectrogram 1	1	167.4223822	167.4372994	0	22050	0.0149	2670.117		2583.984	2670.117	2756.25	2756.25	2	doublet	solo	0	5	38	
