Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Max Freq (Hz)	Peak Amp (U)	Freq 5% (Hz)	Freq 25% (Hz)	Freq 75% (Hz)	Freq 95% (Hz)	Note_type	call_type	series_type	series_seq	Call_group_num	Call_num	Notes
1	Waveform 1	1	3.694081689	3.710249329	0	22050	0.0162		15925					1	doublet	solo	0	1	1	
2	Waveform 1	1	3.760362769	3.801474	0	22050	0.0411		25475					2	doublet	solo	0	1	1	
3	Waveform 1	1	7.059569264	7.076870824	0	22050	0.0173		18342					1	doublet	solo	0	1	2	
4	Waveform 1	1	7.131995583	7.174807454	0	22050	0.0428		27759					2	doublet	solo	0	1	2	
5	Waveform 1	1	9.019818211	9.038639928	0	22050	0.0188		21121					1	doublet	solo	0	1	3	
6	Waveform 1	1	9.090861226	9.127974281	0	22050	0.0371		26396					2	doublet	solo	0	1	3	
7	Waveform 1	1	21.21278849	21.22911539	0	22050	0.0163		14669					1	doublet	solo	0	2	4	
8	Waveform 1	1	21.29238024	21.33278933	0	22050	0.0404		25645					2	doublet	solo	0	2	4	
9	Waveform 1	1	22.58560076	22.60301676	0	22050	0.0174		20460					1	doublet	solo	0	2	5	
10	Waveform 1	1	22.66004458	22.70249453	0	22050	0.0424		26872					2	doublet	solo	0	2	5	
11	Waveform 1	1	24.06099787	24.0788888	0	22050	0.0179		23220					1	doublet	solo	0	2	6	
12	Waveform 1	1	24.13800516	24.17854967	0	22050	0.0405		27919					2	doublet	solo	0	2	6	
13	Waveform 1	1	25.52653017	25.54365053	0	22050	0.0171		24282					1	doublet	two	1	2	7	
14	Waveform 1	1	25.60133829	25.64516916	0	22050	0.0438		28081					2	doublet	two	1	2	7	
15	Waveform 1	1	25.83689394	25.85244837	0	22050	0.0156		18967					1	doublet	two	2	2	8	
16	Waveform 1	1	25.90303888	25.93487444	0	22050	0.0318		27424					2	doublet	two	2	2	8	
17	Waveform 1	1	27.27530565	27.2926301	0	22050	0.0173		23770					1	doublet	two	1	2	9	
18	Waveform 1	1	27.35133829	27.39240351	0	22050	0.0411		27810					2	doublet	two	1	2	9	
19	Waveform 1	1	27.58185854	27.59794315	0	22050	0.0161		24621					1	doublet	two	2	2	10	
20	Waveform 1	1	27.64777842	27.67634859	0	22050	0.0286		27603					2	doublet	two	2	2	10	
21	Waveform 1	1	29.04668894	29.0641717	0	22050	0.0175		25039					1	doublet	two	1	2	11	
22	Waveform 1	1	29.12387743	29.16417622	0	22050	0.0403		27962					2	doublet	two	1	2	11	
23	Waveform 1	1	29.37165537	29.38737002	0	22050	0.0157		23255					1	doublet	two	2	2	12	
24	Waveform 1	1	29.42979517	29.45845966	0	22050	0.0287		27282					2	doublet	two	2	2	12	
25	Waveform 1	1	30.9067792	30.92380991	0	22050	0.017		22302					1	doublet	solo	0	2	13	
26	Waveform 1	1	30.98204126	31.0248517	0	22050	0.0428		27875					2	doublet	solo	0	2	13	
27	Waveform 1	1	32.37775507	32.39492121	0	22050	0.0172		23992					1	doublet	solo	0	2	14	
28	Waveform 1	1	32.45600977	32.49809351	0	22050	0.0421		28097					2	doublet	solo	0	2	14	
29	Waveform 1	1	33.93788996	33.95396027	0	22050	0.0161		23822					1	doublet	two	1	2	15	
30	Waveform 1	1	34.0173234	34.06013575	0	22050	0.0428		28155					2	doublet	two	1	2	15	
31	Waveform 1	1	34.25748148	34.27416691	0	22050	0.0167		22591					1	doublet	two	2	2	16	
32	Waveform 1	1	34.3159646	34.34147769	0	22050	0.0255		25510					2	doublet	two	2	2	16	
33	Waveform 1	1	36.22580423	36.24280056	0	22050	0.017		22658					1	doublet	solo	0	2	17	
34	Waveform 1	1	36.30646219	36.34780207	0	22050	0.0413		27623					2	doublet	solo	0	2	17	
35	Waveform 1	1	37.9089097	37.92652979	0	22050	0.0176		23949					1	doublet	solo	0	2	18	
36	Waveform 1	1	37.98514643	38.02571797	0	22050	0.0406		27950					2	doublet	solo	0	2	18	
37	Waveform 1	1	39.56777659	39.58429512	0	22050	0.0165		20969					1	doublet	two	1	2	19	
38	Waveform 1	1	39.64535227	39.68680277	0	22050	0.0415		27513					2	doublet	two	1	2	19	
39	Waveform 1	1	39.87163248	39.88836756	0	22050	0.0167		21325					1	doublet	two	2	2	20	
40	Waveform 1	1	39.93079462	39.96131601	0	22050	0.0305		26332					2	doublet	two	2	2	20	
41	Waveform 1	1	41.75532999	41.77238169	0	22050	0.0171		21926					1	doublet	solo	0	2	21	
42	Waveform 1	1	41.83474054	41.87516871	0	22050	0.0404		27156					2	doublet	solo	0	2	21	
43	Waveform 1	1	43.63995447	43.65691462	0	22050	0.017		23650					1	doublet	solo	0	2	22	
44	Waveform 1	1	43.71705332	43.75788965	0	22050	0.0408		27570					2	doublet	solo	0	2	22	
45	Waveform 1	1	45.23086252	45.24691477	0	22050	0.0161		23656					1	doublet	solo	0	2	23	
46	Waveform 1	1	45.30795756	45.3484582	0	22050	0.0405		28000					2	doublet	solo	0	2	23	
47	Waveform 1	1	46.93900385	46.95600977	0	22050	0.017		22389					1	doublet	solo	0	2	24	
48	Waveform 1	1	47.01530543	47.05752649	0	22050	0.0422		27409					2	doublet	solo	0	2	24	
49	Waveform 1	1	48.9868249	49.00444498	0	22050	0.0176		22655					1	doublet	solo	0	2	25	
50	Waveform 1	1	49.06591883	49.10467234	0	22050	0.0388		27591					2	doublet	solo	0	2	25	
